JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,,,,,
BOM name?Metaboard-JLCPCB Assembly Order.xlsx,,,,Download Time?2026-01-05 01:12:47,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,,,,
PCB Assembled Qty?5,,,,"Est. Total Price?13.7934
(Pre-order parts require a quotation for final pricing.)",,,,,,,,,,,,,,,,,
Your BOM,,,,Matched Parts,,,,,,,Order Information,,,,,,,,,,
Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Source,Lib Type,MOQ,Availability,My Parts(JLCPCB Parts),My Parts(Global sourcing & consigned parts),Rec. Order Qty,Unit Price ($),Total Price ($)
"C2,C3,C4,C5,C6,C7,C8,C9,C11,C12,C17",0.1uF,Capacitor_SMD:C_0402_1005Metric,,Select by Customer,CL05B104KO5NNNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0402_1005Metric,100nF 16V X7R �10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C1525,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525,In-stock,Basic,1,40598460,0,0,65,0.0012,0.078
D1,SK6812MINI,Flash:MX_SK6812MINI-E,,Select by Customer,SK6812MINI-E,OPSCO Optoelectronics,Flash:MX_SK6812MINI-E,-40?~+85? 0.6mA 1.78mm 120� 1kHz 2.8mm 2000V 3.2mm 3.7V~5.5V 800Kbit/s G:815mcd~1275mcd R:620nm~625nm Semi-transparent lens SMD RGB LEDs(Built-in IC) ROHS,RGB LEDs(Built-in IC),,C5149201,https://jlcpcb.com/partdetail/OPSCOOptoelectronics-SK6812MINIE/C5149201,In-stock,Extended,1,105235,0,0,7,0.0845,0.5915
"R3,R4",27,Resistor_SMD:R_0402_1005Metric,,Select by Customer,0402WGF270JTCE,UNI-ROYAL(Uniroyal Elec),Resistor_SMD:R_0402_1005Metric,-55?~+155? 27? 50V 62.5mW Thick Film Resistor �1% �100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25100,https://jlcpcb.com/partdetail/25843-0402WGF270JTCE/C25100,In-stock,Extended,1,408109,0,0,22,0.0006,0.0132
Y1,12 MHz,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,,Select by Customer,X322512MSB4SI,YXC Crystal Oscillators,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,-40?~+85? 12MHz 20pF Crystal Oscillator �10ppm �20ppm SMD3225-4P Crystals ROHS,Crystals,1.The comment (X322512MSB4SI) of this part does not match the one (12 MHz) provided in your BOM. Please confirm;,C9002,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002,In-stock,Basic,1,528140,0,0,9,0.0666,0.5994
"C13,C14",10uF,Capacitor_SMD:C_0603_1608Metric,,Select by Customer,CL10A106KP8NNNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0603_1608Metric,10V 10uF X5R �10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CL10A106KP8NNNC) of this part does not match the one (10uF) provided in your BOM. Please confirm;,C19702,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,In-stock,Basic,1,16279548,0,0,20,0.0057,0.114
U3,W25Q16JVZPIQ TR,Flash:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,,Select by Customer,W25Q16JVUXIQ,Winbond Elec,Flash:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,"-40?~+85? 100,000 Cycles 10uA 133MHz 16Mbit 2.7V~3.6V 20 Years 3ms SPI USON-8-EP(2x3) NOR FLASH ROHS",NOR FLASH,1.The comment (W25Q16JVUXIQ) of this part does not match the one (W25Q16JVZPIQ TR) provided in your BOM. Please confirm;,C2843335,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVUXIQ/C2843335,In-stock,Extended,1,31866,0,0,5,0.6638,3.319
"R1,R2",5.1k,Resistor_SMD:R_0402_1005Metric,,Select by Customer,0402WGF5101TCE,UNI-ROYAL(Uniroyal Elec),Resistor_SMD:R_0402_1005Metric,-55?~+155? 5.1k? 50V 62.5mW Thick Film Resistor �1% �100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25905,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,In-stock,Basic,1,3708662,0,0,20,0.0006,0.012
U1,RP2040,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,Select by Customer,RP2040,Raspberry Pi,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,12bit 133MHz 30 LQFN-56(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,Microcontrollers (MCU/MPU/SOC),,C2040,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,In-stock,Extended,1,63439,0,0,5,0.9366,4.683
"R5,R6",1K,Resistor_SMD:R_0402_1005Metric,,Select by Customer,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),Resistor_SMD:R_0402_1005Metric,-55?~+155? 1k? 50V 62.5mW Thick Film Resistor �1% �100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C11702,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,In-stock,Basic,1,13880356,0,0,20,0.0006,0.012
SW1,SW_Push,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,,Select by Customer,TS-1088-AR02016,XUNPU,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,"-30?~+80? 1.6N 100,000 Cycles 12V 2mm 3mm 4mm 50mA Black Round Button SMD(SMT) Tab SPST Surface Mount,Vertical Without Bracket SMD,4x3mm Tactile Switches ROHS",Tactile Switches,,C720477,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,In-stock,Basic,1,564276,0,0,9,0.0434,0.3906
"C15,C16",33pF,Capacitor_SMD:C_0402_1005Metric,,Select by Customer,0402CG330J500NT,FH (Guangdong Fenghua Advanced Tech),Capacitor_SMD:C_0402_1005Metric,33pF 50V C0G �5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (0402CG330J500NT) of this part does not match the one (33pF) provided in your BOM. Please confirm;,C1562,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562,In-stock,Basic,1,859839,0,0,20,0.0011,0.022
"C1,C10",1uF,Capacitor_SMD:C_0402_1005Metric,,Select by Customer,CL05A105KA5NQNC,Samsung Electro-Mechanics,Capacitor_SMD:C_0402_1005Metric,1uF 25V X5R �10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,1.The comment (CL05A105KA5NQNC) of this part does not match the one (1uF) provided in your BOM. Please confirm;,C52923,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,In-stock,Basic,1,10836716,0,0,20,0.003,0.06
R7,10K,Resistor_SMD:R_0402_1005Metric,,Select by Customer,0402WGF1002TCE,UNI-ROYAL(Uniroyal Elec),Resistor_SMD:R_0402_1005Metric,-55?~+155? 10k? 50V 62.5mW Thick Film Resistor �1% �100ppm/? 0402 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C25744,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,In-stock,Basic,1,14280080,0,0,20,0.0006,0.012
U4,MCP1700x-330xxTT,Package_TO_SOT_SMD:SOT-23,,Select by Customer,MCP1700T-3302E/TT,Microchip Tech,Package_TO_SOT_SMD:SOT-23,"-40?~+125?@(Tj) 1 1.6uA 178mV@(250mA) 250mA 3.3V 44dB@(100Hz) 6V Fixed Over Temperature Protection Positive SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C39051,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700T_3302ETT/C39051,In-stock,Extended,1,32386,0,0,5,0.3494,1.747
"J2,J3",Conn_01x20,Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical,,Select by Customer,2.54-1*20P??,BOOMELE(Boom Precision Elec),Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical,"-40?~+105? 1 1x20P 2.54mm 20P 3A Black Brass Pin Header Through Hole Plugin,P=2.54mm Pin Headers ROHS",Pin Headers,,C50981,https://jlcpcb.com/partdetail/51993-2_54_1_20P/C50981,In-stock,Extended,1,33409,0,0,10,0.1047,1.047
J4,Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,Select by Customer,1.27-1*3P?,BOOMELE(Boom Precision Elec),Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,"-55?~+105? 1 1.27mm 1.7mm 1x3P 2.5mm 3A 3P 3mm Black Brass Pin Header Through Hole Plugin,P=1.27mm Pin Headers ROHS",Pin Headers,,C24980,https://jlcpcb.com/partdetail/25717-1_27_1_3P/C24980,In-stock,Extended,1,3038,0,0,8,0.0284,0.2272
J1,USB_C_Receptacle_USB2.0_14P,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,,Select by Customer,TYPE-C-31-M-12,Korean Hroparts Elec,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,"-30?~+80? 1 10,000 cycles 16P 20V 5A 7.35mm Female Surface Mount, Right Angle Type-C SMD USB Connectors ROHS",USB Connectors,,C165948,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,In-stock,Extended,1,143077,0,0,5,0.1731,0.8655
U5,OLED 0.93,0LED 0.93 INCH,,Select by Customer,OLED-0.93,Samsung Electro-Mechanics,OLED 0.93,N/A,OLED SCREEN,,C34693,www.aliexpress.com/item/1005008660196594.html,In-stock,Extended,1,,,,,,6.23
3D PRINTING FEES ,,,,,,,,,,,,,,,,,,,,,8
JCLPCB ASSEMBLY FEE,,,,,,,,,,,,,,,,,,,,,67.04
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,TOTAL: ,$88.24
